order_id,supplier_id,item_id,quantity,order_date,delivery_status,payment_status
O0001,S001,001,50,2025-11-20,Delivered,Paid
O0002,S002,003,30,2025-11-21,Delivered,Paid
O0003,S001,002,40,2025-11-22,Delivered,Paid
O0004,S003,004,25,2025-11-23,Pending,Unpaid
O0005,S002,005,60,2025-11-24,Delivered,Paid
O0006,S004,006,35,2025-11-25,Pending,Unpaid
O0007,S005,007,20,2025-11-26,Delivered,Paid
O0008,S003,008,45,2025-11-27,Pending,Unpaid
O0009,S006,009,55,2025-11-28,Delivered,Paid
O0010,S007,010,30,2025-11-29,Pending,Unpaid
O0011,S001,011,25,2025-11-30,Delivered,Paid
O0012,S008,012,40,2025-12-01,Pending,Unpaid
O0013,S002,013,30,2025-12-02,Delivered,Paid
O0014,S009,014,50,2025-12-03,Pending,Unpaid
O0015,S003,015,20,2025-12-04,Delivered,Paid
O0016,S010,016,35,2025-12-05,Pending,Unpaid
O0017,S004,017,45,2025-12-06,Delivered,Paid
O0018,S011,018,25,2025-12-07,Pending,Unpaid
O0019,S005,019,55,2025-12-08,Delivered,Paid
O0020,S012,020,30,2025-12-09,Pending,Unpaid
O0021,S006,001,60,2025-12-10,Delivered,Paid
O0022,S013,002,40,2025-12-11,Pending,Unpaid
O0023,S007,003,30,2025-12-12,Delivered,Paid
O0024,S014,004,50,2025-12-13,Pending,Unpaid
O0025,S008,005,20,2025-12-14,Delivered,Paid
O0026,S015,006,35,2025-12-15,Pending,Unpaid
O0027,S009,007,45,2025-12-16,Delivered,Paid
O0028,S016,008,25,2025-12-17,Delivered,Paid
O0029,S010,009,55,2025-12-18,Delivered,Paid
O0030,S017,010,30,2025-12-19,Pending,Unpaid
O0031,S011,011,40,2025-12-20,Delivered,Paid
O0032,S018,012,50,2025-12-21,Pending,Unpaid
O0033,S012,013,30,2025-12-22,Delivered,Paid
O0034,S019,014,20,2025-12-23,Pending,Unpaid
O0035,S013,015,45,2025-12-24,Delivered,Paid
O0036,S020,016,35,2025-12-25,Pending,Unpaid
O0037,S014,017,55,2025-12-26,Delivered,Paid
O0038,S015,018,25,2025-12-27,Pending,Unpaid
